Timestamp,Type,Recieve Amount,Recieve Unit,Recieve Cost Basis,Recieve Unit Cost Basis,Send Amount,Send Unit,Send Cost Basis,Send Unit Cost Basis,Fee,Fee Unit
12/16/2017 22:45:12,Trade,1.125,XMR,366.47,325.7511111,0.01896187,BTC,81.93,4320.776379,0.001125,XMR
12/16/2017 22:45:44,Trade,1.971,XMR,642.06,325.7534247,0.0332212,BTC,143.54,4320.734952,0.001971,XMR
12/16/2017 22:45:51,Trade,0.08,XMR,26.06,325.75,0.0013484,BTC,5.83,4323.642836,0.00008,XMR
12/16/2017 22:46:03,Trade,1.824,XMR,594.17,325.7510965,0.03074352,BTC,132.83,4320.585281,0.001824,XMR
12/20/2017 17:47:53,Trade,16.06,NEO,1082.56,67.40722291,0.06571752,BTC,283.94,4320.613438,0.01606,NEO
12/21/2017 2:18:10,Trade,2000,BTS,1211.37,0.605685,0.07808,BTC,337.36,4320.696721,2,BTS
12/24/2017 20:19:34,Trade,1.94,NEO,114.46,59,0.0083129,BTC,35.92,4320.99508,0.00194,NEO
12/24/2017 20:19:48,Trade,0.01,NEO,0.59,59,0.00004285,BTC,0.19,4434.072345,0.00001,NEO
01/07/2018 23:58:35,Trade,20,BNB,370.86,18.543,0.0229,BTC,38.94,1700.436681,0.01,BNB
01/08/2018 2:07:31,Trade,6.78,QTUM,377.9,55.73746313,0.0251538,BTC,108.68,4320.619549,0.01106731,BNB
01/08/2018 2:07:36,Trade,5.39,QTUM,300.42,55.73654917,0.0199969,BTC,86.4,4320.669704,0.00879603,BNB
01/08/2018 2:07:45,Trade,7.83,QTUM,436.42,55.73690932,0.0290493,BTC,233.68,8044.2558,0.01275322,BNB
01/13/2018 13:06:59,Trade,0.02928021,BTC,427.57,14602.69581,683,BTS,413.68,0.6056808199,0.00898435,BNB
01/13/2018 13:07:32,Trade,0.004287,BTC,62.6,14602.28598,100,BTS,60.57,0.6057,0.00131846,BNB
01/13/2018 16:40:27,Trade,0.02870784,BTC,420.69,14654.18506,672,BTS,407.02,0.6056845238,0.00918693,BNB
01/13/2018 16:40:53,Trade,0.00516912,BTC,75.75,14654.33188,121,BTS,73.29,0.6057024793,0.00165067,BNB
01/13/2018 16:41:00,Trade,0.00217872,BTC,31.93,14655.39399,51,BTS,30.89,0.6056862745,0.00069751,BNB
01/13/2018 16:41:18,Trade,0.00602352,BTC,88.27,14654.22212,141,BTS,85.4,0.6056737589,0.0019243,BNB
